Word Length = ,9000
Iteration Number, Word length - subsequence length
1, 1992
2, 1814
3, 2149
4, 2046
5, 2016
6, 1870
7, 2379
8, 2495
9, 2007
10, 1873
11, 2413
12, 2017
13, 1539
14, 1991
15, 2201
16, 2566
17, 2284
18, 1983
19, 1612
20, 2166
21, 2112
22, 2342
23, 2024
24, 1830
25, 1913
26, 2023
27, 2711
28, 1938
29, 1686
30, 1579
31, 2452
32, 2269
33, 2014
34, 2288
35, 2164
36, 2007
37, 2506
38, 2481
39, 2433
40, 1869
41, 2094
42, 1938
43, 2729
44, 1405
45, 2207
46, 2324
47, 1729
48, 1767
49, 2032
50, 2006
51, 1914
52, 2056
53, 2588
54, 1748
55, 1975
56, 2412
57, 2405
58, 1606
59, 3376
60, 2223
61, 2002
62, 2556
63, 1801
64, 1910
65, 2135
66, 1955
67, 2082
68, 1845
69, 2645
70, 2683
71, 1779
72, 2684
73, 1855
74, 2011
75, 2309
76, 1383
77, 2480
78, 2021
79, 2230
80, 2291
81, 1380
82, 2041
83, 2003
84, 2145
85, 2428
86, 1886
87, 1768
88, 1638
89, 1808
90, 2014
91, 2342
92, 2356
93, 1890
94, 1738
95, 2140
96, 1796
97, 2244
98, 2317
99, 2768
100, 2175
101, 2063
102, 2173
103, 2451
104, 2220
105, 1894
106, 1623
107, 1742
108, 2908
109, 2479
110, 2047
111, 2574
112, 1930
113, 2126
114, 2099
115, 2073
116, 1991
117, 1955
118, 1942
119, 1964
120, 2309
121, 2149
122, 1342
123, 1421
124, 1933
125, 2420
126, 2067
127, 1983
128, 2203
129, 2353
130, 1779
131, 2678
132, 2267
133, 2171
134, 1959
135, 2190
136, 2146
137, 1958
138, 2517
139, 1725
140, 2284
141, 2289
142, 2252
143, 2111
144, 2594
145, 1804
146, 2441
147, 2122
148, 2568
149, 2771
150, 2187
151, 2350
152, 1757
153, 2029
154, 2364
155, 1565
156, 1896
157, 1774
158, 2383
159, 1717
160, 1915
161, 2236
162, 1957
163, 2238
164, 2190
165, 1911
166, 2913
167, 1852
168, 2042
169, 2034
170, 1793
171, 2137
172, 1722
173, 2185
174, 1511
175, 2405
176, 2601
177, 2467
178, 1824
179, 1923
180, 1941
181, 2382
182, 2510
183, 1897
184, 1257
185, 2048
186, 1906
187, 2270
188, 2491
189, 2191
190, 2733
191, 1942
192, 2068
193, 1981
194, 2554
195, 2185
196, 2189
197, 2313
198, 2581
199, 2010
200, 2639
201, 1808
202, 1784
203, 2269
204, 2074
205, 2409
206, 2227
207, 2355
208, 2120
209, 2157
210, 2743
211, 2159
212, 2331
213, 2435
214, 2067
215, 1829
216, 2392
217, 1861
218, 1840
219, 2371
220, 2023
221, 2515
222, 2609
223, 1880
224, 3025
225, 2679
226, 1942
227, 1793
228, 1984
229, 2290
230, 2656
231, 2324
232, 1979
233, 2428
234, 2238
235, 1985
236, 2043
237, 2394
238, 2529
239, 2001
240, 2221
241, 2525
242, 2143
243, 2505
244, 2365
245, 2069
246, 2399
247, 2373
248, 2008
249, 1765
250, 1931
251, 2510
252, 1910
253, 1987
254, 1558
255, 2035
256, 2773
257, 2408
258, 2095
259, 2795
260, 1646
261, 1776
262, 2105
263, 1621
264, 2046
265, 2081
266, 2474
267, 1988
268, 2019
269, 2591
270, 1979
271, 1824
272, 1978
273, 2471
274, 1957
275, 1941
276, 2101
277, 1415
278, 2153
279, 2148
280, 2389
281, 2353
282, 1913
283, 1193
284, 1548
285, 2178
286, 2067
287, 2460
288, 1804
289, 2176
290, 1853
291, 1984
292, 1305
293, 2252
294, 1884
295, 1886
296, 1539
297, 2709
298, 1992
299, 2487
300, 1957
301, 2032
302, 1688
303, 2591
304, 2065
305, 2332
306, 2307
307, 3235
308, 2554
309, 2039
310, 1744
311, 2025
312, 2087
313, 1926
314, 2681
315, 2013
316, 2531
317, 2517
318, 2023
319, 1437
320, 2534
321, 1682
322, 1936
323, 1917
324, 1978
325, 1972
326, 1937
327, 1992
328, 2201
329, 1802
330, 2374
331, 2772
332, 1756
333, 1944
334, 1717
335, 1951
336, 2414
337, 2009
338, 2353
339, 2004
340, 1758
341, 2376
342, 2297
343, 1876
344, 2447
345, 2249
346, 1903
347, 1889
348, 2063
349, 2167
350, 2059
351, 1797
352, 2282
353, 1982
354, 2188
355, 1814
356, 1839
357, 2292
358, 1898
359, 2487
360, 2259
361, 2340
362, 2003
363, 2012
364, 1557
365, 2012
366, 2079
367, 2010
368, 1908
369, 2348
370, 2201
371, 1874
372, 2444
373, 1957
374, 1973
375, 1832
376, 2272
377, 2081
378, 1701
379, 2542
380, 2371
381, 2417
382, 2628
383, 1551
384, 2180
385, 2103
386, 3009
387, 1776
388, 2876
389, 1884
390, 1882
391, 2018
392, 1858
393, 2159
394, 2080
395, 2482
396, 2250
397, 1930
398, 1962
399, 2189
400, 2185
401, 2004
402, 2140
403, 2251
404, 2294
405, 2317
406, 2025
407, 2507
408, 2009
409, 1776
410, 2102
411, 2058
412, 1848
413, 2214
414, 1954
415, 2209
416, 2040
417, 1123
418, 2261
419, 2365
420, 1756
421, 1975
422, 2169
423, 1546
424, 1723
425, 2000
426, 2154
427, 2002
428, 2079
429, 1919
430, 2444
431, 1370
432, 2020
433, 1848
434, 2096
435, 2802
436, 2063
437, 1748
438, 2027
439, 2014
440, 2303
441, 1938
442, 1902
443, 1682
444, 2146
445, 1440
446, 2714
447, 2229
448, 654
449, 2315
450, 2511
451, 1744
